Date,SPY,XLE,XLF,XLK,XLV,XLI,XLY,XLP,XLU,XLB,LQD,BIL,SHY,IEF,TLT,VGSH,VGIT,VGLT,BND
2018-08-08,0,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,11.11111111111111,0,0,0,0,0,0,0,0,0
2018-08-09,0,11.008140782602267,11.044765994712304,11.115642375410737,11.098779094113532,11.049837869302907,11.152314675546798,11.07794070655895,11.161445561359054,11.171151511523027,0,0,0,0,0,0,0,0,0
2018-08-10,0,11.075806473757849,10.915977925247693,11.026559699492712,11.050694364860938,10.952088156251106,11.05911244685052,11.036483659184936,11.11320873774678,11.009793136268387,0,0,0,0,0,0,0,0,0
2018-08-13,0,10.934583516682885,10.810601167833502,11.0114648565372,11.054396452500121,10.899568234701217,11.003188579284128,11.036483659184936,11.127889261193761,10.899094551844632,0,0,0,0,0,0,0,0,0
2018-08-14,0,10.96106254565557,10.912071592045775,11.079406929255326,11.106178097433753,10.975435261893034,11.110129810284658,11.113182771816572,11.150958382514949,10.991030310287284,0,0,0,0,0,0,0,0,0
2018-08-15,0,10.578582540444538,10.826214825008195,10.979758229974484,11.087683175112272,10.922911651628329,10.974736390454677,11.158789557249714,11.253723000978042,10.816539402983011,0,0,0,0,0,0,0,0,0
2018-08-16,0,10.65507457459102,10.97061404972615,11.028068083670142,11.196182581831781,11.061507733409055,11.028696074900276,11.31840734794952,11.375366259162135,10.882210097326396,0,0,0,0,0,0,0,0,0
2018-08-17,0,10.681556542004982,10.994029531645488,11.044678644923883,11.230705402440252,11.12861775162774,11.038505920229,11.405473014084732,11.434086444281599,10.96288767813467,0,0,0,0,0,0,0,0,0
2018-08-20,0,10.753638710402454,11.029156507406523,11.028068083670142,11.267692143908327,11.203022818180823,11.116997334601919,11.399253448648201,11.394238218543533,11.039814943293386,0,0,0,0,0,0,0,0,0
2018-08-21,0,10.808070396649093,11.072088643807337,11.046191918515179,11.267692143908327,11.286179975420618,11.20529543136778,11.318407347949522,11.312447957768649,11.082966872139455,0,0,0,0,0,0,0,0,0
2018-08-22,0,10.937523427182223,11.033058670739521,11.079406929255326,11.278787028517959,11.17676285740588,11.217070250551243,11.24792688409039,11.228556253021186,11.026678394196143,0,0,0,0,0,0,0,0,0
2018-08-23,0,10.886036059096838,10.982323875620276,11.10356307845662,11.275087009662034,11.14466489064885,11.206277522928177,11.22097879496685,11.220166700812749,10.951629500500298,0,0,0,0,0,0,0,0,0
2018-08-24,0,10.965475349845855,11.021348844845392,11.215294741751975,11.329337747413419,11.192808766855384,11.272014398759074,11.20646800338832,11.26840543309348,11.09422424636431,0,0,0,0,0,0,0,0,0
2018-08-27,0,11.0463867996755,11.16965690468661,11.317965098801546,11.370026576520678,11.334327540341969,11.344613263769617,11.212686652160826,11.199199023464141,11.246199601809353,0,0,0,0,0,0,0,0,0
2018-08-28,0,10.999309297339126,11.1579462448187,11.337589983703214,11.37618948184458,11.310986582558067,11.367180810576144,11.17537384286177,11.176127039140264,11.203046869553763,0,0,0,0,0,0,0,0,0
2018-08-29,0,11.066982334597908,11.1540440814857,11.440264007813184,11.450165033563993,11.319736214101567,11.494726986730303,11.18781022374275,11.25792111725206,11.287477979649685,0,0,0,0,0,0,0,0,0
