Date,SPY,XLE,XLF,XLK,XLV,XLI,XLY,XLP,XLU,XLB,LQD,BIL,SHY,IEF,TLT,VGSH,VGIT,VGLT,BND
2018-08-08,80,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
2018-08-09,79.8906936783401,0,0,0,0,0,0,0,0,0,20.015639675543966,0,0,0,0,0,0,0,0
2018-08-10,79.3554424599314,0,0,0,0,0,0,0,0,0,20.048659229251605,0,0,0,0,0,0,0,0
2018-08-13,79.05837343904204,0,0,0,0,0,0,0,0,0,20.043448113406797,0,0,0,0,0,0,0,0
2018-08-14,79.5628122208912,0,0,0,0,0,0,0,0,0,20.069513184645153,0,0,0,0,0,0,0,0
2018-08-15,78.96867417911251,0,0,0,0,0,0,0,0,0,20.11123058744653,0,0,0,0,0,0,0,0
2018-08-16,79.60764309709057,0,0,0,0,0,0,0,0,0,20.137298822689655,0,0,0,0,0,0,0,0
2018-08-17,79.88790874417752,0,0,0,0,0,0,0,0,0,20.154667626836652,0,0,0,0,0,0,0,0
2018-08-20,80.05883993895647,0,0,0,0,0,0,0,0,0,20.206812007334804,0,0,0,0,0,0,0,0
2018-08-21,80.24664952259944,0,0,0,0,0,0,0,0,0,20.156410993461115,0,0,0,0,0,0,0,0
2018-08-22,80.198986827824,0,0,0,0,0,0,0,0,0,20.154667626836652,0,0,0,0,0,0,0,0
2018-08-23,80.09251232474016,0,0,0,0,0,0,0,0,0,20.161623691308314,0,0,0,0,0,0,0,0
2018-08-24,80.5745216031656,0,0,0,0,0,0,0,0,0,20.201599309487612,0,0,0,0,0,0,0,0
2018-08-27,81.21068683321569,0,0,0,0,0,0,0,0,0,20.17031521239253,0,0,0,0,0,0,0,0
2018-08-28,81.24991971044183,0,0,0,0,0,0,0,0,0,20.0938396352662,0,0,0,0,0,0,0,0
2018-08-29,81.6870981126679,0,0,0,0,0,0,0,0,0,20.0729904258798,0,0,0,0,0,0,0,0
2018-08-30,81.35639421352565,0,0,0,0,0,0,0,0,0,20.092107342658405,0,0,0,0,0,0,0,0
2018-08-31,81.35920727833631,0,0,0,0,0,0,0,0,0,20.062565030185404,0,0,0,0,0,0,0,0
2018-09-04,81.21908852011687,0,0,0,0,0,0,0,0,0,20.02560945455248,0,0,0,0,0,0,0,0
2018-09-05,81.0005040074452,0,0,0,0,0,0,0,0,0,20.013404306178852,0,0,0,0,0,0,0,0
2018-09-06,80.75667692653911,0,0,0,0,0,0,0,0,0,20.06918571015218,0,0,0,0,0,0,0,0
2018-09-07,80.59976417139998,0,0,0,0,0,0,0,0,0,19.985516768196955,0,0,0,0,0,0,0,0
2018-09-10,80.73985479897131,0,0,0,0,0,0,0,0,0,20.05175046190516,0,0,0,0,0,0,0,0
2018-09-11,81.00611138330113,0,0,0,0,0,0,0,0,0,20.006435585688145,0,0,0,0,0,0,0,0
2018-09-12,81.0257278219142,0,0,0,0,0,0,0,0,0,20.046525108038917,0,0,0,0,0,0,0,0
2018-09-13,81.50495216617708,0,0,0,0,0,0,0,0,0,20.088365907026052,0,0,0,0,0,0,0,0
2018-09-14,81.5189612289342,0,0,0,0,0,0,0,0,0,20.06395877428356,0,0,0,0,0,0,0,0
2018-09-17,81.08736207191593,0,0,0,0,0,0,0,0,0,20.05175046190517,0,0,0,0,0,0,0,0
2018-09-18,81.52736291583538,0,0,0,0,0,0,0,0,0,19.96983279658631,0,0,0,0,0,0,0,0
2018-09-19,81.61426786471962,0,0,0,0,0,0,0,0,0,19.940193981968044,0,0,0,0,0,0,0,0
2018-09-20,82.27563815547333,0,0,0,0,0,0,0,0,0,19.99249023469482,0,0,0,0,0,0,0,0
2018-09-21,82.20046368684955,0,0,0,0,0,0,0,0,0,19.995975385941367,0,0,0,0,0,0,0,0
2018-09-24,81.92738073191248,0,0,0,0,0,0,0,0,0,19.950654181714828,0,0,0,0,0,0,0,0
2018-09-25,81.85139047449363,0,0,0,0,0,0,0,0,0,19.950654181714828,0,0,0,0,0,0,0,0
2018-09-26,81.60646629831136,0,0,0,0,0,0,0,0,0,20.022124303305947,0,0,0,0,0,0,0,0
2018-09-27,81.8344839549815,0,0,0,0,0,0,0,0,0,20.04827005666576,0,0,0,0,0,0,0,0
2018-09-28,81.8429325262962,0,0,0,0,0,0,0,0,0,20.03432312367005,0,0,0,0,0,0,0,0
2018-10-01,82.12725836359321,0,0,0,0,0,0,0,0,0,20.006696616081104,0,0,0,0,0,0,0,0
2018-10-02,82.07939875428103,0,0,0,0,0,0,0,0,0,20.024177742397196,0,0,0,0,0,0,0,0
